IMPORTANT NOTE: SHEET IS PROTOCTED AND WILL GIVE A WARNING BEFORE EDITS CAN BE MADE. PLEASE TAKE CARE NOT TO MAKE UNINTENDED CHANGES.												
To be completed by wet lab team member												Experiment Index (DO NOT CHANGE)
Sample Index (from MSTS)	sample ID (from MSTS)	Team member intials	Date experiment started	Date experiment completed	Experiment type	Protocol used	Reference to notebook and page number	Passed pre-sequencing QC? (see SOP; if not, please explain in notes)	Sequencing library generated? (enter in mSeqTS)	Library ID (if library generated)	Notes	
SAMP-58	Mnx1Cre-GFP(-)	AVD	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues		Yes	Yes	JYH_269	standard ATAC-seq rep2	EXP-347
SAMP-58	Mnx1Cre-GFP(-)	AVD	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues		Yes	Yes	JYH_270	ATAC with SORTING rep1	EXP-348
SAMP-58	Mnx1Cre-GFP(-)	AVD	01/05/2018	01/05/2018	ATAC-seq	ATAC-seq_tissues		Yes	Yes	JYH_271	ATAC with SORTING rep2	EXP-349
Other	K562_H3K27Ac	AVD	1/22/2018	1/25/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg70-73	Yes	Yes	AVD_73	ChIP Kit QC_1	EXP-350
Other	K562_H3K4me3	AVD	1/22/2018	1/25/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg70-73	Yes	Yes	AVD_74	ChIP Kit QC_1	EXP-351
Other	K562_H3K27me3	AVD	1/23/2018	1/26/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg70-73	Yes	Yes	AVD_75	ChIP Kit QC_1	EXP-352
Other	K562_Input	AVD	1/24/2018	1/27/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg70-73	Yes	Yes	AVD_76	ChIP Kit QC_1	EXP-353
SAMP-406	1	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_234	NCI-H1299, sgRNA1.1	EXP-354
SAMP-407	2	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_235	NCI-H1299, sgRNA1.2	EXP-355
SAMP-408	3	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_236	NCI-H1299, sgRNA1.3	EXP-356
SAMP-409	5	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_237	NCI-H1299, sgRNA2.1	EXP-357
SAMP-410	6	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_238	NCI-H1299, sgRNA2.2	EXP-358
SAMP-411	7	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_239	NCI-H1299, sgRNA2.3	EXP-359
SAMP-412	9	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_240	NCI-H1299, sgRNA3.1	EXP-360
SAMP-413	10	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_241	NCI-H1299, sgRNA3.2	EXP-361
SAMP-414	11	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_242	NCI-H1299, sgRNA3.3	EXP-362
SAMP-415	13	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_243	NCI-H1299, sgRNA4.1	EXP-363
SAMP-416	14	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_244	NCI-H1299, sgRNA4.2	EXP-364
SAMP-417	15	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_245	NCI-H1299, sgRNA4.3	EXP-365
SAMP-126	GM_SNAP10	JYH	1/11/2018	1/11/2018	ATAC-seq	ATAC-seq_cells	nb1_p148	Yes	Yes	JYH_246	Control	EXP-366
SAMP-441	CZ05	RMM	1/17/2018	1/17/2018	ATAC-seq	ATAC-seq_tissues	nb1_p152	Yes	Yes	JYH_247	Fatty Acid Free BSA + NP-40; bulk-ATAC-seq	EXP-367
SAMP-442	CZ05	RMM	1/17/2018	1/17/2018	ATAC-seq	ATAC-seq_tissues	nb1_p152	Yes	Yes	JYH_248	Fatty Acid Free BSA + digitonin; bulk-ATAC-seq	EXP-368
SAMP-443	CZ05	RMM	1/17/2018	1/17/2018	ATAC-seq	ATAC-seq_tissues	nb1_p152	Yes	Yes	JYH_249	Fatty Acid Free BSA + NP-40,digitonin,tween20; bulk-ATAC-seq	EXP-369
SAMP-444	CZ05	RMM	1/17/2018	1/17/2018	ATAC-seq	ATAC-seq_tissues	nb1_p152	Yes	Yes	JYH_250	Normal BSA + NP-40; bulk-ATAC-seq	EXP-370
SAMP-445	CZ05	RMM	1/17/2018	1/17/2018	ATAC-seq	ATAC-seq_tissues	nb1_p152	Yes	Yes	JYH_251	Omni-ATAC-seq buffer; bulk-ATAC-seq	EXP-371
SAMP-441	CZ05	JYH	1/17/2018	1/17/2018	ATAC-seq	ATAC-seq_tissues	nb1_p152	Yes	Yes	JYH_252	Fatty Acid Free BSA + NP-40; scATAC-seq test	EXP-372
SAMP-442	CZ05	JYH	1/17/2018	1/17/2018	ATAC-seq	ATAC-seq_tissues	nb1_p152	Yes	Yes	JYH_253	Fatty Acid Free BSA + digitonin; scATAC-seq test	EXP-373
SAMP-443	CZ05	JYH	1/17/2018	1/17/2018	ATAC-seq	ATAC-seq_tissues	nb1_p152	Yes	Yes	JYH_254	Fatty Acid Free BSA + NP-40,digitonin,tween20; scATAC-seq test	EXP-374
SAMP-444	CZ05	JYH	1/17/2018	1/17/2018	ATAC-seq	ATAC-seq_tissues	nb1_p152	Yes	Yes	JYH_255	Normal BSA + NP-40; scATAC-seq test	EXP-375
SAMP-445	CZ05	JYH	1/17/2018	1/17/2018	ATAC-seq	ATAC-seq_tissues	nb1_p152	Yes	Yes	JYH_256	Omni-ATAC-seq buffer; scATAC-seq test	EXP-376
SAMP-91	GBM10.3	XH	2/6/2018	2/6/2018	snRNA-seq	snRNA-seq for tissue	nb1_33-34	yes	Yes	XH_6		EXP-377
SAMP-379	DMS114_H3K27me3	AVD	1/26/18	2/2/18	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_77	Pfizer ChIP	EXP-378
SAMP-379	DMS114_H3K4me3	AVD	1/26/18	2/2/18	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_78	Pfizer ChIP	EXP-379
SAMP-379	DMS114_Input	AVD	1/26/18	2/2/18	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_79	Pfizer ChIP	EXP-380
SAMP-383	H209_H3K27me3	AVD	1/26/18	2/2/18	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_80	Pfizer ChIP	EXP-381
SAMP-383	H209_H3K4me3	AVD	1/26/18	2/2/18	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_81	Pfizer ChIP	EXP-382
SAMP-383	H209_Input	AVD	1/26/18	2/2/18	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_82	Pfizer ChIP	EXP-383
SAMP-387	C4_2_H3K27me3	AVD	1/26/18	2/2/18	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_83	Pfizer ChIP	EXP-384
SAMP-387	C4_2_H3K4me3	AVD	1/26/18	2/2/18	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	No	No	AVD_84	Failed amplification - Will restart with replicates of others	EXP-385
SAMP-387	C4_2_Input	AVD	1/26/18	2/2/18	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_85	Pfizer ChIP	EXP-386
SAMP-462	sample1	XH	1/30/18	2/1/18	scRNA-seq	Single cell RNA seq	nb1_pg30-31	yes	Yes	XH_4		EXP-387
SAMP-463	sample 3	XH	1/30/18	2/1/18	scRNA-seq	Single cell RNA seq	nb1_pg30-31	yes	Yes	XH_5		EXP-388
SAMP-103	GBM10.15	XH	2/6/18	2/8/18	scRNA-seq	scRNA seq for tissue	nb1_pg33-34	yes	Yes	XH_7		EXP-389
SAMP-446	CZ05	JYH	1/26/2018	1/26/2018	ATAC-seq	ATAC-seq_tissues	nb1_p159	Yes	Yes	JYH_257	FF_Fatty Acid Free BSA + NP-40; bulk-ATAC-seq	EXP-390
SAMP-447	CZ05	JYH	1/26/2018	1/26/2018	ATAC-seq	ATAC-seq_tissues	nb1_p159	Yes	Yes	JYH_258	FF_Fatty Acid Free BSA + digitonin; bulk-ATAC-seq	EXP-391
SAMP-448	CZ05	JYH	1/26/2018	1/26/2018	ATAC-seq	ATAC-seq_tissues	nb1_p159	Yes	Yes	JYH_259	FF_Fatty Acid Free BSA + NP-40,digitonin,tween20; bulk-ATAC-seq	EXP-392
SAMP-449	CZ05	JYH	1/26/2018	1/26/2018	ATAC-seq	ATAC-seq_tissues	nb1_p159	Yes	Yes	JYH_260	FF_Normal BSA + NP-40; bulk-ATAC-seq	EXP-393
SAMP-450	CZ05	JYH	1/26/2018	1/26/2018	ATAC-seq	ATAC-seq_tissues	nb1_p159	Yes	Yes	JYH_261	FF_Omni-ATAC-seq buffer; bulk-ATAC-seq	EXP-394
SAMP-446	CZ05	JYH	1/26/2018	1/26/2018	ATAC-seq	ATAC-seq_tissues	nb1_p159	Yes	Yes	JYH_262	FF_Fatty Acid Free BSA + NP-40; scATAC-seq test	EXP-395
SAMP-447	CZ05	JYH	1/26/2018	1/26/2018	ATAC-seq	ATAC-seq_tissues	nb1_p159	Yes	Yes	JYH_263	FF_Fatty Acid Free BSA + digitonin; scATAC-seq test	EXP-396
SAMP-448	CZ05	JYH	1/26/2018	1/26/2018	ATAC-seq	ATAC-seq_tissues	nb1_p159	Yes	Yes	JYH_264	FF_Fatty Acid Free BSA + NP-40,digitonin,tween20; scATAC-seq test	EXP-397
SAMP-449	CZ05	JYH	1/26/2018	1/26/2018	ATAC-seq	ATAC-seq_tissues	nb1_p159	Yes	Yes	JYH_265	FF_Normal BSA + NP-40; scATAC-seq test	EXP-398
SAMP-450	CZ05	JYH	1/26/2018	1/26/2018	ATAC-seq	ATAC-seq_tissues	nb1_p159	Yes	Yes	JYH_266	FF_Omni-ATAC-seq buffer; scATAC-seq test	EXP-399
SAMP-464	NCIH1048 C2	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_272	Pfizer	EXP-400
SAMP-465	NCIH1048 T2	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_273	Pfizer	EXP-401
SAMP-466	NCIH1048 O2	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_274	Pfizer	EXP-402
SAMP-467	NCIH1048 N2	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_275	Pfizer	EXP-403
SAMP-468	NCIH1048 R2	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_276	Pfizer	EXP-404
SAMP-469	NCIH1048 V2	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_277	Pfizer	EXP-405
SAMP-470	NCIH1048 T5	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_278	Pfizer	EXP-406
SAMP-471	NCIH1048 O5	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_279	Pfizer	EXP-407
SAMP-472	NCIH1048 N5	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_280	Pfizer	EXP-408
SAMP-473	NCIH1048 R5	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_281	Pfizer	EXP-409
SAMP-474	NCIH1048 V5	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_282	Pfizer	EXP-410
SAMP-439	Day3_+Gx	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_283	Neil Chi	EXP-411
SAMP-440	Day3_-Gx	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_284	Neil Chi	EXP-412
SAMP-126	GM_SNAP10	JYH	2/12/2018	2/12/2018	ATAC-seq	ATAC-seq_cells	nb1_p168	Yes	Yes	JYH_285	Control	EXP-413
SAMP-126	GM_SNAP10	JYH	2/9/2018	2/9/2018	ATAC-seq	ATAC-seq_cells	nb1_p167	Yes	Yes	JYH_286	Biomek_6th	EXP-414
SAMP-126	GM_SNAP10	JYH	2/9/2018	2/9/2018	ATAC-seq	ATAC-seq_cells	nb1_p167	Yes	Yes	JYH_287	Biomek_6th	EXP-415
SAMP-128	GM_SLOW19240	RMM	01/25/2018	01/26/2018	ATAC-seq	ATAC-seq_cells	nb1_pg47-52	Yes	No		control	EXP-416
Other	K_562_0.1	RMM	01/25/2018	01/26/2018	ATAC-seq	ATAC-seq_cells	nb1_pg47-52	Yes	Yes	RMM_17		EXP-417
Other	K_562_0.2	RMM	01/25/2018	01/26/2018	ATAC-seq	ATAC-seq_cells	nb1_pg47-52	Yes	Yes	RMM_18		EXP-418
Other	K_562_0.5	RMM	01/25/2018	01/26/2018	ATAC-seq	ATAC-seq_cells	nb1_pg47-52	Yes	Yes	RMM_19		EXP-419
Other	K_562_1.0	RMM	01/25/2018	01/26/2018	ATAC-seq	ATAC-seq_cells	nb1_pg47-52	Yes	Yes	RMM_20		EXP-420
Other	K_562_2.0	RMM	01/25/2018	01/26/2018	ATAC-seq	ATAC-seq_cells	nb1_pg47-52	Yes	Yes	RMM_21		EXP-421
NA	NA	AVD	2/6/2018	2/9/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_89	Chromatin shearing Input testing - varying DF	EXP-422
NA	NA	AVD	2/6/2018	2/9/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_90	Chromatin shearing Input testing - varying DF	EXP-423
NA	NA	AVD	2/6/2018	2/9/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_92	Chromatin shearing Input testing - varying DF	EXP-424
NA	NA	AVD	2/6/2018	2/9/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_112	Chromatin shearing Input testing - varying DF	EXP-425
NA	NA	AVD	2/6/2018	2/9/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_87	Chromatin shearing Input testing - varying DF	EXP-426
NA	NA	AVD	2/6/2018	2/9/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_88	Chromatin shearing Input testing - varying DF	EXP-427
NA	NA	AVD	2/6/2018	2/9/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_91	Chromatin shearing Input testing - varying DF	EXP-428
NA	NA	AVD	2/6/2018	2/9/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_93	Chromatin shearing Input testing - varying DF	EXP-429
NA	NA	AVD	2/8/2018	3/23/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_135	Chromatin shearing Input testing - reproducibility	EXP-430
NA	NA	AVD	2/8/2018	3/23/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_136	Chromatin shearing Input testing - reproducibility	EXP-431
NA	NA	AVD	2/8/2018	3/23/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_137	Chromatin shearing Input testing - reproducibility	EXP-432
NA	NA	AVD	2/8/2018	3/23/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_138	Chromatin shearing Input testing - reproducibility	EXP-433
NA	NA	AVD	2/8/2018	3/23/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_139	Chromatin shearing Input testing - reproducibility	EXP-434
NA	NA	AVD	2/8/2018	3/23/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_140	Chromatin shearing Input testing - reproducibility	EXP-435
NA	NA	AVD	2/8/2018	3/23/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_141	Chromatin shearing Input testing - reproducibility	EXP-436
NA	NA	AVD	2/8/2018	3/23/2018	other (please explain in notes)	Covaris Chromatin Shearing	Nb1_pg	Yes	Yes	AVD_142	Chromatin shearing Input testing - reproducibility	EXP-437
SAMP-380	DMS114_H3K27me3	AVD	2/13/2018	2/22/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_77_2	Pfizer Chip round 2	EXP-438
SAMP-380	DMS114_H3K4me3	AVD	2/13/2018	2/22/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_78_2	Pfizer Chip round 3	EXP-439
SAMP-380	DMS114_Input	AVD	2/13/2018	2/22/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_79_2	Pfizer Chip round 4	EXP-440
SAMP-384	H209_H3K27me3	AVD	2/13/2018	2/22/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_80_2	Pfizer Chip round 5	EXP-441
SAMP-384	H209_H3K4me3	AVD	2/13/2018	2/22/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_81_2	Pfizer Chip round 6	EXP-442
SAMP-384	H209_Input	AVD	2/13/2018	2/22/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_82_2	Pfizer Chip round 7	EXP-443
SAMP-388 / SAMP-389	C4_2_H3K27me3	AVD	2/13/2018	2/22/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_83_2	Pfizer Chip round 8	EXP-444
SAMP-388 / SAMP-389	C4_2_H3K4me3_1	AVD	2/13/2018	2/22/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_84_2	Pfizer Chip round 9	EXP-445
SAMP-388 / SAMP-389	C4_2_H3K4me3_2	AVD	2/13/2018	2/22/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_84_3	Pfizer Chip round 10	EXP-446
SAMP-388 / SAMP-389	C4_2_Input	AVD	2/13/2018	2/22/2018	ChIP-seq	Active Motif ChIP-IT High Sensitivity / Swift Library Prep	nb1_pg	Yes	Yes	AVD_85_2	Pfizer Chip round 11	EXP-447
SAMP-475	CW60278-none	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_288	Gleeson	EXP-448
SAMP-476	CW60278-1hr	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_289	Gleeson	EXP-449
SAMP-477	CW60278-6hr	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_290	Gleeson	EXP-450
SAMP-478	CW60037-none	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_291	Gleeson	EXP-451
SAMP-479	CW60037-1hr	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_292	Gleeson	EXP-452
SAMP-480	CW60037-6hr	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_293	Gleeson	EXP-453
SAMP-481	2703 2-1 - none	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_294	Gleeson	EXP-454
SAMP-482	2703 2-1 - 1hr	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_295	Gleeson	EXP-455
SAMP-483	2703 2-1 - 6 hr	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_296	Gleeson	EXP-456
SAMP-484	2703 3-3 - none	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_297	Gleeson	EXP-457
SAMP-485	2703 3-3 - 1hr	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_298	Gleeson	EXP-458
SAMP-486	2703 3-3 - 6hr	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_299	Gleeson	EXP-459
SAMP-487	2703 3-4 - none	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_300	Gleeson	EXP-460
SAMP-488	2703 3-4 - 1hr	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_301	Gleeson	EXP-461
SAMP-489	2703 3-4 - 6hr	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p173	Yes	Yes	JYH_302	Gleeson	EXP-462
SAMP-126	GM_SNAP10	JYH	2/23/2018	2/26/2018	ATAC-seq	ATAC-seq_cells	nb1_p178	Yes	Yes	JYH_303	Gleeson control	EXP-462
SAMP-498	NA0007890555	XH	3/7/2018	3/8/2018	scRNA-seq	sc_RNA seq nuclei	nb1_pg50-51	Yes	Yes	XH_8	Grin	EXP-463
