IMPORTANT NOTE: SHEET IS PROTOCTED AND WILL GIVE A WARNING BEFORE EDITS CAN BE MADE. PLEASE TAKE CARE NOT TO MAKE UNINTENDED CHANGES.																													
To be completed by wet lab team member																		Sequncing file index (DO NOT CHANGE)	To be completed by bioinformatics team member										
Sample Index (from MSTS)	sample ID (from MSTS)	Label (for QC report)	species 	Experiment Index (from METS)	Team member intials	Date submitted for sequencing	Library ID	Sequencing ID	Experiment type	Sequening core	Machine	Sequening length	Read type	Portion of lane	i7 index (if applicable)	i5 Index (or single index)	Notes		Date sequencing completed	Team member intitials	Genome	Total_reads	Final_reads	Final_yield	Mito_frac	TSS_enrichment	FRoP	Link for sharing files	Notes
N/A	NA	D0_B1_T2_SP246	human	N/A	DUG	N/A	SP246	SP246	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D0b_1_SP246_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D0b_1_SP246_R2.fastq.bz2	SEQ-289			hg38	90,675,376	32,052,448	0.353	0.377	28.37	0.329		
N/A	NA	D15_B1_T2_SP247	human	N/A	DUG	N/A	SP247	SP247	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D15b_1_SP247_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D15b_1_SP247_R2.fastq.bz2	SEQ-290			hg38	109,656,954	37,897,714	0.346	0.484	36.72	0.378		
N/A	NA	D15_B2_T2_SP248	human	N/A	DUG	N/A	SP248	SP248	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D15b_2_SP248_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D15b_2_SP248_R2.fastq.bz2	SEQ-291			hg38	103,637,816	46,232,348	0.446	0.3	24.72	0.242		
N/A	NA	D80_B1_T2_SP249	human	N/A	DUG	N/A	SP249	SP249	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D80b_1_SP249_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D80b_1_SP249_R2.fastq.bz2	SEQ-292			hg38	104,932,150	17,913,746	0.171	0.71	37.66	0.285		
N/A	NA	D2_B1_T1_SP268	human	N/A	DUG	N/A	SP268	SP268	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D2_1_SP268_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D2_1_SP268_R2.fastq.bz2	SEQ-293			hg38	158,816,132	40,830,152	0.257	0.459	29.47	0.38		
N/A	NA	D5_B1_T1_SP269	human	N/A	DUG	N/A	SP269	SP269	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D5_1_SP269_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D5_1_SP269_R2.fastq.bz2	SEQ-294			hg38	151,800,034	45,662,630	0.301	0.38	29.75	0.37		
N/A	NA	D7_B1_T1_SP270	human	N/A	DUG	N/A	SP270	SP270	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D7_1_SP270_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D7_1_SP270_R2.fastq.bz2	SEQ-295			hg38	179,312,990	51,047,256	0.285	0.394	36.76	0.42		
N/A	NA	D15_B1_T1_SP271	human	N/A	DUG	N/A	SP271	SP271	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D15_1_SP271_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D15_1_SP271_R2.fastq.bz2	SEQ-296			hg38	56,835,974	21,806,724	0.384	0.465	41.03	0.348		
N/A	NA	D80_B1_T1_SP275	human	N/A	DUG	N/A	SP275	SP275	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D80_1_SP275_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D80_1_SP275_R2.fastq.bz2	SEQ-297			hg38	46,178,402	10,025,550	0.217	0.664	36.87	0.262		
N/A	NA	D0_B2_T1_SP280	human	N/A	DUG	N/A	SP280	SP280	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D0_2_SP280_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D0_2_SP280_R2.fastq.bz2	SEQ-298			hg38	65,544,102	42,012,616	0.641	0.169	24.84	0.273		
N/A	NA	D2_B2_T1_SP281	human	N/A	DUG	N/A	SP281	SP281	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D2_2_SP281_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D2_2_SP281_R2.fastq.bz2	SEQ-299			hg38	82,179,934	40,815,706	0.497	0.346	34.78	0.384		
N/A	NA	D5_B2_T1_SP282	human	N/A	DUG	N/A	SP282	SP282	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D5_2_SP282_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D5_2_SP282_R2.fastq.bz2	SEQ-300			hg38	74,019,906	43,234,916	0.584	0.243	27.57	0.343		
N/A	NA	D7_B2_T1_SP283	human	N/A	DUG	N/A	SP283	SP283	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D7_2_SP283_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D7_2_SP283_R2.fastq.bz2	SEQ-301			hg38	71,055,746	38,958,010	0.548	0.287	41.49	0.446		
N/A	NA	D15_B2_T1_SP284	human	N/A	DUG	N/A	SP284	SP284	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D15_2_SP284_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D15_2_SP284_R2.fastq.bz2	SEQ-302			hg38	69,956,920	34,129,176	0.488	0.353	40.62	0.379		
N/A	NA	D80_B2_T1_SP285	human	N/A	DUG	N/A	SP285	SP285	ATAC-seq	LICR	Other (please explain in notes)	100	PE	N/A	N/A	N/A	fastqs:/mnt/silencer2/home/spreissl/CVDC/ATAC/D80_2_SP285_R1.fastq.bz2, /mnt/silencer2/home/spreissl/CVDC/ATAC/D80_2_SP285_R2.fastq.bz2	SEQ-303			hg38	78,146,302	21,625,156	0.277	0.625	37.56	0.328		
SAMP-404	CD11b_CD45_GBM2_super_IDH_WT	CD11b_CD45_GBM2_super_IDH_WT	human	EXP-291	JYH	1/9/2018	JYH_190	JYH_190	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-E4		SEQ-329			NA	NA	NA	NA	NA	NA	NA		
SAMP-404	CD11b_CD45_GBM2_super_IDH_WT	CD11b_CD45_GBM2_super_IDH_WT	human	EXP-292	JYH	1/9/2018	JYH_191	JYH_191	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-E5		SEQ-330			NA	NA	NA	NA	NA	NA	NA		
SAMP-404	CD11b_CD45_GBM2_super_IDH_WT	CD11b_CD45_GBM2_super_IDH_WT	human	EXP-293	JYH	1/9/2018	JYH_192	JYH_192	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-E6		SEQ-331			NA	NA	NA	NA	NA	NA	NA		
SAMP-404	CD11b_CD45_GBM2_super_IDH_WT	CD11b_CD45_GBM2_super_IDH_WT	human	EXP-294	JYH	1/9/2018	JYH_193	JYH_193	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-E7		SEQ-332			NA	NA	NA	NA	NA	NA	NA		
SAMP-404	CD11b_CD45_GBM2_super_IDH_WT	CD11b_CD45_GBM2_super_IDH_WT	human	EXP-295	JYH	1/9/2018	JYH_194	JYH_194	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-F1		SEQ-333			NA	NA	NA	NA	NA	NA	NA		
SAMP-404	CD11b_CD45_GBM2_super_IDH_WT	CD11b_CD45_GBM2_super_IDH_WT	human	EXP-296	JYH	1/9/2018	JYH_195	JYH_195	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-F2		SEQ-334			NA	NA	NA	NA	NA	NA	NA		
SAMP-404	CD11b_CD45_GBM2_super_IDH_WT	CD11b_CD45_GBM2_super_IDH_WT	human	EXP-297	JYH	1/9/2018	JYH_196	JYH_196	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-F3		SEQ-335			NA	NA	NA	NA	NA	NA	NA		
SAMP-404	CD11b_CD45_GBM2_super_IDH_WT	CD11b_CD45_GBM2_super_IDH_WT	human	EXP-298	JYH	1/9/2018	JYH_197	JYH_197	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-F4		SEQ-336			NA	NA	NA	NA	NA	NA	NA		
SAMP-404	CD11b_CD45_GBM2_super_IDH_WT	CD11b_CD45_GBM2_super_IDH_WT	human	EXP-299	JYH	1/9/2018	JYH_198	JYH_198	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-D8		SEQ-337			NA	NA	NA	NA	NA	NA	NA		
SAMP-404	CD11b_CD45_GBM2_super_IDH_WT	CD11b_CD45_GBM2_super_IDH_WT	human	EXP-300	JYH	1/9/2018	JYH_199	JYH_199	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-D9		SEQ-338			NA	NA	NA	NA	NA	NA	NA		
SAMP-405	CD11b_CD45_GBM2_deep_IDH_WT	CD11b_CD45_GBM2_deep_IDH_WT	human	EXP-301	JYH	1/9/2018	JYH_200	JYH_200	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-E8		SEQ-339			NA	NA	NA	NA	NA	NA	NA		
SAMP-405	CD11b_CD45_GBM2_deep_IDH_WT	CD11b_CD45_GBM2_deep_IDH_WT	human	EXP-302	JYH	1/9/2018	JYH_201	JYH_201	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-E9		SEQ-340			NA	NA	NA	NA	NA	NA	NA		
SAMP-405	CD11b_CD45_GBM2_deep_IDH_WT	CD11b_CD45_GBM2_deep_IDH_WT	human	EXP-303	JYH	1/9/2018	JYH_202	JYH_202	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-E10		SEQ-341			NA	NA	NA	NA	NA	NA	NA		
SAMP-405	CD11b_CD45_GBM2_deep_IDH_WT	CD11b_CD45_GBM2_deep_IDH_WT	human	EXP-304	JYH	1/9/2018	JYH_203	JYH_203	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-E11		SEQ-342			NA	NA	NA	NA	NA	NA	NA		
SAMP-405	CD11b_CD45_GBM2_deep_IDH_WT	CD11b_CD45_GBM2_deep_IDH_WT	human	EXP-305	JYH	1/9/2018	JYH_204	JYH_204	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-F5		SEQ-343			NA	NA	NA	NA	NA	NA	NA		
SAMP-405	CD11b_CD45_GBM2_deep_IDH_WT	CD11b_CD45_GBM2_deep_IDH_WT	human	EXP-306	JYH	1/9/2018	JYH_205	JYH_205	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-F6		SEQ-344			NA	NA	NA	NA	NA	NA	NA		
SAMP-405	CD11b_CD45_GBM2_deep_IDH_WT	CD11b_CD45_GBM2_deep_IDH_WT	human	EXP-307	JYH	1/9/2018	JYH_206	JYH_206	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-F7		SEQ-345			NA	NA	NA	NA	NA	NA	NA		
SAMP-405	CD11b_CD45_GBM2_deep_IDH_WT	CD11b_CD45_GBM2_deep_IDH_WT	human	EXP-308	JYH	1/9/2018	JYH_207	JYH_207	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-F8		SEQ-346			NA	NA	NA	NA	NA	NA	NA		
SAMP-405	CD11b_CD45_GBM2_deep_IDH_WT	CD11b_CD45_GBM2_deep_IDH_WT	human	EXP-309	JYH	1/9/2018	JYH_208	JYH_208	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-D10		SEQ-347			NA	NA	NA	NA	NA	NA	NA		
SAMP-405	CD11b_CD45_GBM2_deep_IDH_WT	CD11b_CD45_GBM2_deep_IDH_WT	human	EXP-310	JYH	1/9/2018	JYH_209	JYH_209	scRNA-seq	IGM	HiSeq4000	26+8+0+98	PE	0.08	N/A	SI-GA-D11		SEQ-348			NA	NA	NA	NA	NA	NA	NA		
SAMP-68	GBM3	GBM3	human	EXP-335	JYH	1/16/2018	JYH_223	JYH_223_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N701	S503		SEQ-385			hg38	53,533,632	41,012,432	0.766	0.0618	19.66	0.235		
SAMP-68	GBM3_seq1_2	GBM3_seq1_2	human	EXP-335	JYH	1/16/2018	JYH_223	JYH_223_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N701	S503		SEQ-385			hg38	62,423,866	47,670,448	0.764	0.0619	19.69	0.235		
SAMP-71	GBM4.3	GBM4.3	human	EXP-336	JYH	1/16/2018	JYH_224	JYH_224_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N702	S505		SEQ-386			hg38	44,417,238	33,390,362	0.752	0.0701	12.05	0.115		
SAMP-71	GBM4.3_seq1_2	GBM4.3_seq1_2	human	EXP-336	JYH	1/16/2018	JYH_224	JYH_224_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N702	S505		SEQ-386			hg38	52,006,748	39,058,756	0.751	0.0699	12.05	0.115		
SAMP-77	GBM5.4	GBM5.4	human	EXP-337	JYH	1/16/2018	JYH_225	JYH_225_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N703	S506		SEQ-387			hg38	46,378,156	32,922,804	0.71	0.112	9.54	0.0809		
SAMP-77	GBM5.4_seq1_2	GBM5.4_seq1_2	human	EXP-337	JYH	1/16/2018	JYH_225	JYH_225_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N703	S506		SEQ-387			hg38	54,469,588	38,639,002	0.709	0.112	9.551	0.081		
SAMP-79	GBM6.2	GBM6.2	human	EXP-338	JYH	1/16/2018	JYH_226	JYH_226_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N704	S507		SEQ-388			hg38	38,733,896	24,836,198	0.641	0.185	8.437	0.0657		
SAMP-79	GBM6.2_seq1_2	GBM6.2_seq1_2	human	EXP-338	JYH	1/16/2018	JYH_226	JYH_226_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N704	S507		SEQ-388			hg38	44,238,024	28,352,810	0.641	0.184	8.489	0.0661		
SAMP-80	GBM7	GBM7	human	EXP-339	JYH	1/16/2018	JYH_227	JYH_227_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N705	S508		SEQ-389			hg38	43,485,898	27,439,172	0.631	0.201	10.43	0.0757		
SAMP-80	GBM7_seq1_2	GBM7_seq1_2	human	EXP-339	JYH	1/16/2018	JYH_227	JYH_227_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N705	S508		SEQ-389			hg38	50,408,118	31,767,448	0.63	0.2	10.44	0.0757		
SAMP-81	GBM8.1	GBM8.1	human	EXP-340	JYH	1/16/2018	JYH_228	JYH_228_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N706	S510		SEQ-390			hg38	36,824,092	22,502,686	0.611	0.224	11.01	0.0813		
SAMP-81	GBM8.1_seq1_2	GBM8.1_seq1_2	human	EXP-340	JYH	1/16/2018	JYH_228	JYH_228_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N706	S510		SEQ-390			hg38	42,512,368	25,954,326	0.611	0.223	11.04	0.0813		
SAMP-86	GBM9.2	GBM9.2	human	EXP-341	JYH	1/16/2018	JYH_229	JYH_229_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N707	S511		SEQ-391			hg38	35,174,572	23,845,564	0.678	0.133	7.258	0.0524		
SAMP-86	GBM9.2_seq1_2	GBM9.2_seq1_2	human	EXP-341	JYH	1/16/2018	JYH_229	JYH_229_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N707	S511		SEQ-391			hg38	40,871,834	27,673,828	0.677	0.133	7.265	0.0525		
SAMP-91	GBM10.3	GBM10.3	human	EXP-342	JYH	1/16/2018	JYH_230	JYH_230_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N710	S502		SEQ-392			hg38	43,649,926	26,302,086	0.603	0.252	12.48	0.109		
SAMP-91	GBM10.3_seq1_2	GBM10.3_seq1_2	human	EXP-342	JYH	1/16/2018	JYH_230	JYH_230_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N710	S502		SEQ-392			hg38	51,526,616	31,028,114	0.602	0.252	12.5	0.109		
SAMP-113	GBM11	GBM11	human	EXP-343	JYH	1/16/2018	JYH_231	JYH_231_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N711	S503		SEQ-393			hg38	49,661,956	36,461,060	0.734	0.115	19.33	0.174		
SAMP-113	GBM11_seq1_2	GBM11_seq1_2	human	EXP-343	JYH	1/16/2018	JYH_231	JYH_231_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N711	S503		SEQ-393			hg38	58,280,926	42,724,990	0.733	0.115	19.34	0.174		
SAMP-115	GBM12.2	GBM12.2	human	EXP-344	JYH	1/16/2018	JYH_232	JYH_232_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N712	S505		SEQ-394			hg38	35,945,054	25,017,552	0.696	0.113	15.38	0.124		
SAMP-115	GBM12.2_seq1_2	GBM12.2_seq1_2	human	EXP-344	JYH	1/16/2018	JYH_232	JYH_232_1_2	ATAC-seq	EPIGEN	NextSeq550 High	75	PE	0.10	N712	S505		SEQ-394			hg38	42,143,260	29,286,058	0.695	0.113	15.35	0.124		
SAMP-226	D00_Rep1	D00_Rep1	human	EXP-118	JYH	1/12/2018	JYH_127	JYH_127_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N701	S502		SEQ-395			hg38	37,434,508	14,185,506	0.379	0.501	28.66	0.337		
SAMP-228	D03_Rep1	D03_Rep1	human	EXP-119	JYH	1/12/2018	JYH_128	JYH_128_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N702	S503		SEQ-396			hg38	70,333,696	20,090,116	0.286	0.421	25.15	0.252		
SAMP-230	D05_Rep1_VE	D05_Rep1_VE	human	EXP-120	JYH	1/12/2018	JYH_129	JYH_129_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N703	S505		SEQ-397			hg38	41,943,884	21,943,970	0.523	0.345	33.91	0.368		
SAMP-232	D07_Rep1_VE	D07_Rep1_VE	human	EXP-121	JYH	1/12/2018	JYH_130	JYH_130_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N704	S506		SEQ-398			hg38	41,422,842	23,764,286	0.574	0.293	27.89	0.346		
SAMP-234	D09_Rep1_VE	D09_Rep1_VE	human	EXP-122	JYH	1/12/2018	JYH_131	JYH_131_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N705	S507		SEQ-399			hg38	39,003,282	23,161,274	0.594	0.263	30.5	0.385		
SAMP-236	D15_Rep1_VE	D15_Rep1_VE	human	EXP-123	JYH	1/12/2018	JYH_132	JYH_132_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N706	S508		SEQ-400			hg38	47,775,342	27,969,210	0.585	0.268	28.35	0.33		
SAMP-238	D05_Rep1_CM	D05_Rep1_CM	human	EXP-124	JYH	1/12/2018	JYH_133	JYH_133_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N707	S510		SEQ-401			hg38	43,529,812	14,324,276	0.329	0.551	38.54	0.429		
SAMP-240	D07_Rep1_CM	D07_Rep1_CM	human	EXP-125	JYH	1/12/2018	JYH_134	JYH_134_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N710	S511		SEQ-402			hg38	46,828,136	20,791,342	0.444	0.416	35.63	0.402		
SAMP-242	D09_Rep1_CM	D09_Rep1_CM	human	EXP-126	JYH	1/12/2018	JYH_135	JYH_135_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N701	S506		SEQ-403			hg38	56,320,040	20,060,190	0.356	0.516	40.88	0.455		
SAMP-244	D15_Rep1_CM	D15_Rep1_CM	human	EXP-127	JYH	1/12/2018	JYH_136	JYH_136_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N702	S507		SEQ-404			hg38	54,274,212	23,426,040	0.432	0.427	37.41	0.405		
SAMP-246	D05_Rep1_Epi	D05_Rep1_Epi	human	EXP-128	JYH	1/12/2018	JYH_137	JYH_137_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N703	S508		SEQ-405			hg38	34,901,258	15,379,570	0.441	0.432	35.13	0.4		
SAMP-248	D07_Rep1_Epi	D07_Rep1_Epi	human	EXP-129	JYH	1/12/2018	JYH_138	JYH_138_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N704	S510		SEQ-406			hg38	50,652,988	27,634,788	0.546	0.315	33.68	0.41		
SAMP-250	D09_Rep1_Epi	D09_Rep1_Epi	human	EXP-130	JYH	1/12/2018	JYH_139	JYH_139_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N705	S511		SEQ-407			hg38	46,014,996	24,829,314	0.54	0.321	36.08	0.426		
SAMP-252	D15_Rep1_Epi	D15_Rep1_Epi	human	EXP-131	JYH	1/12/2018	JYH_140	JYH_140_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.13	N706	S502		SEQ-408			hg38	32,068,442	19,230,706	0.6	0.259	30.78	0.331		
