IMPORTANT NOTE: SHEET IS PROTOCTED AND WILL GIVE A WARNING BEFORE EDITS CAN BE MADE. PLEASE TAKE CARE NOT TO MAKE UNINTENDED CHANGES.												
To be completed by wet lab team member												Experiment Index (DO NOT CHANGE)
Sample Index (from MSTS)	sample ID (from MSTS)	Team member intials	Date experiment started	Date experiment completed	Experiment type	Protocol used	Reference to notebook and page number	Passed pre-sequencing QC? (see SOP; if not, please explain in notes)	Sequencing library generated? (enter in mSeqTS)	Library ID (if library generated)	Notes	
SAMP-15	H7-SLOWDMSO-2	JYH	7/20/2017	7/21/2017	ATAC-seq	ATAC-seq for cells	nb1_p69	Yes	Yes	JYH_55	Flash freeze nuclei of control cell line with no DMF and 25%glycerol	EXP-34
SAMP-14	H7-SLOWDMSO-2	JYH	7/20/2017	7/21/2017	ATAC-seq	ATAC-seq for cells	nb1_p69	Yes	Yes	JYH_56	Flash freeze nuclei of control cell line with TB and 25%glycerol	EXP-35
SAMP-15	H7-SLOWDMSO-2	JYH	7/20/2017	7/21/2017	ATAC-seq	ATAC-seq for cells	nb1_p69	Yes	Yes	JYH_57	Flash freeze nuclei of control cell line with TB	EXP-38
other	FB e13.5	JYH	5/16/2017	5/16/2017	ATAC-seq	ATAC-seq for tissue	nb1_p1	Yes	Yes	JYH-1	ENCODE project	EXP-39
other	LIMB e15.5 r1	JYH	5/16/2017	5/16/2017	ATAC-seq	ATAC-seq for tissue	nb1_p1	Yes	Yes	JYH-2	ENCODE project	EXP-40
other	LIMB e15.5 r2	JYH	5/16/2017	5/16/2017	ATAC-seq	ATAC-seq for tissue	nb1_p1	Yes	Yes	JYH-3	ENCODE project	EXP-41
other	FB e16.5 r2	JYH	5/17/2017	5/17/2017	ATAC-seq	ATAC-seq for tissue	nb1_p2	Yes	Yes	JYH-4	ENCODE project	EXP-42
other	MB e14.5 r1	JYH	5/17/2017	5/17/2017	ATAC-seq	ATAC-seq for tissue	nb1_p2	Yes	Yes	JYH-5	ENCODE project	EXP-43
other	MB e14.5 r2	JYH	5/17/2017	5/17/2017	ATAC-seq	ATAC-seq for tissue	nb1_p2	Yes	Yes	JYH-6	ENCODE project	EXP-44
other	Lung e15.5 r1	JYH	5/17/2017	5/17/2017	ATAC-seq	ATAC-seq for tissue	nb1_p2	Yes	Yes	JYH-7	ENCODE project	EXP-45
other	LIMB e11.5 r1	JYH	5/17/2017	5/17/2017	ATAC-seq	ATAC-seq for tissue	nb1_p2	Yes	Yes	JYH-8	ENCODE project	EXP-46
other	LIMB e11.5 r2	JYH	5/17/2017	5/17/2017	ATAC-seq	ATAC-seq for tissue	nb1_p2	Yes	Yes	JYH-9	ENCODE project	EXP-47
other	LIMB e12.5 r1	JYH	5/17/2017	5/17/2017	ATAC-seq	ATAC-seq for tissue	nb1_p2	Yes	Yes	JYH-10	ENCODE project	EXP-48
other	LIMB e13.5 r2	JYH	5/17/2017	5/17/2017	ATAC-seq	ATAC-seq for tissue	nb1_p2	Yes	Yes	JYH-11	ENCODE project	EXP-49
other	Human_eye_24weeks_Twin_A_1	JYH	5/19/2017	5/19/2017	ATAC-seq	ATAC-seq for tissue	nb1_p6	Yes	Yes	JYH-12	Human eye	EXP-50
other	Human_eye_24weeks_Twin_A_2	JYH	5/19/2017	5/19/2017	ATAC-seq	ATAC-seq for tissue	nb1_p6	Yes	Yes	JYH-13	Human eye	EXP-51
other	Heart_e16.5_r2	JYH	5/19/2017	5/19/2017	ATAC-seq	ATAC-seq for tissue	nb1_p6	Yes	Yes	JYH-14	ENCODE project	EXP-52
other	Liver_e15.5_r2	JYH	5/19/2017	5/19/2017	ATAC-seq	ATAC-seq for tissue	nb1_p6	Yes	Yes	JYH-15	ENCODE project	EXP-53
SAMP-40	KG-A005	JYH	5/24/2017	5/24/2017	ATAC-seq	ATAC-seq for tissue	nb1_p11	Yes	Yes	JYH-16	Fresh islet	EXP-54
SAMP-40	KG-A005	JYH	5/24/2017	5/24/2017	ATAC-seq	ATAC-seq for tissue	nb1_p11	Yes	Yes	JYH-17	Flash freeze nuclei	EXP-55
SAMP-40	KG-A005	JYH	5/24/2017	5/24/2017	ATAC-seq	ATAC-seq for tissue	nb1_p11	Yes	Yes	JYH-18	Flash freeze whole islet	EXP-56
SAMP-41	KG-A006	JYH	6/15/2017	6/15/2017	ATAC-seq	ATAC-seq for tissue	nb1_p34	Yes	Yes	JYH-19	Flash freeze whole islet	EXP-57
SAMP-41	KG-A006	JYH	6/15/2017	6/15/2017	ATAC-seq	ATAC-seq for tissue	nb1_p34	Yes	Yes	JYH-20	Flash freeze whole islet and homogenized	EXP-58
other	adult mouse FB with normal ATAC-seq	JYH	06/23/2017	06/23/2017	ATAC-seq	ATAC-seq for tissue	nb1_p42	Yes	Yes	JYH-30	For single tube ATAC-seq protocol	EXP-59
other	adult mouse FB with 2%SDS, 37℃, 30min	JYH	06/23/2017	06/23/2017	ATAC-seq	ATAC-seq for tissue	nb1_p42	Yes	Yes	JYH-31	For single tube ATAC-seq protocol	EXP-60
other	adult mouse FB with 2%SDS, 55℃, 7min	JYH	06/23/2017	06/23/2017	ATAC-seq	ATAC-seq for tissue	nb1_p42	Yes	Yes	JYH-32	For single tube ATAC-seq protocol	EXP-61
other	adult mouse FB with 2%SDS, 65℃, 7min	JYH	06/23/2017	06/23/2017	ATAC-seq	ATAC-seq for tissue	nb1_p42	Yes	Yes	JYH-33	For single tube ATAC-seq protocol	EXP-62
other	adult mouse FB with 2%SDS, 72℃, 5min	JYH	06/23/2017	06/23/2017	ATAC-seq	ATAC-seq for tissue	nb1_p42	Yes	Yes	JYH-34	For single tube ATAC-seq protocol	EXP-63
other	adult mouse FB with normal ATAC-seq	JYH	06/01/2017	06/01/2017	ATAC-seq	ATAC-seq for tissue	nb1_p16	Yes	Yes	JYH-35	Test storage buffer	EXP-64
other	adult mouse FB with pro-seq storage buffer, FF	JYH	06/01/2017	06/01/2017	ATAC-seq	ATAC-seq for tissue	nb1_p16	Yes	Yes	JYH-36	Test storage buffer	EXP-65
other	adult mouse FB with tagmentation storage buffer, FF	JYH	06/01/2017	06/01/2017	ATAC-seq	ATAC-seq for tissue	nb1_p16	Yes	Yes	JYH-37	Test storage buffer	EXP-66
SAMP-36	CZ01	JYH	8/15/2017	8/15/2017	ATAC-seq	ATAC-seq for tissue	nb1_p86	Yes	Yes	JYH_71	Zhang's buffer	EXP-67
SAMP-36	CZ01	JYH	8/15/2017	8/15/2017	ATAC-seq	ATAC-seq for tissue	nb1_p86	Yes	Yes	JYH_72	Our NPB	EXP-68
SAMP-37	CZ02	JYH	8/15/2017	8/15/2017	ATAC-seq	ATAC-seq for tissue	nb1_p86	Yes	Yes	JYH_73	Zhang's buffer	EXP-69
SAMP-37	CZ02	JYH	8/15/2017	8/15/2017	ATAC-seq	ATAC-seq for tissue	nb1_p86	Yes	Yes	JYH_74	Our NPB	EXP-70
SAMP-38	CZ03	JYH	8/15/2017	8/15/2017	ATAC-seq	ATAC-seq for tissue	nb1_p86	Yes	Yes	JYH_75	Zhang's buffer	EXP-71
SAMP-38	CZ03	JYH	8/15/2017	8/15/2017	ATAC-seq	ATAC-seq for tissue	nb1_p86	Yes	Yes	JYH_76	Our NPB	EXP-72
SAMP-39	CZ04	JYH	8/15/2017	8/15/2017	ATAC-seq	ATAC-seq for tissue	nb1_p86	Yes	Yes	JYH_77	Zhang's buffer	EXP-73
SAMP-39	CZ04	JYH	8/15/2017	8/15/2017	ATAC-seq	ATAC-seq for tissue	nb1_p86	Yes	Yes	JYH_78	Our NPB	EXP-74
SAMP-33	Che6-072817	JYH	8/15/2017	8/15/2017	ATAC-seq	ATAC-seq for cells	nb1_p86	No	Yes	JYH_79	Low cell number	EXP-75
other	HG00514_2_TB_gly	JYH	8/15/2017	8/15/2017	ATAC-seq	ATAC-seq for cells	nb1_p86	Yes	Yes	JYH_80	NA	EXP-76
SAMP-67	R234	JYH	8/23/2017	8/28/2017	ATAC-seq	ATAC-seq for tissue	nb1_p92	Yes	Yes	JYH_103	Fresh islet	EXP-77
SAMP-67	R234	JYH	8/23/2017	8/28/2017	ATAC-seq	ATAC-seq for tissue	nb1_p92	Yes	Yes	JYH_104	flash frozen islet	EXP-78
SAMP-67	R234	JYH	8/23/2017	8/28/2017	ATAC-seq	ATAC-seq for tissue	nb1_p92	Yes	Yes	JYH_105	Tn5 0.1 ul	EXP-79
SAMP-67	R234	JYH	8/23/2017	8/28/2017	ATAC-seq	ATAC-seq for tissue	nb1_p92	Yes	Yes	JYH_106	Tn5 0.5 ul	EXP-80
SAMP-67	R234	JYH	8/23/2017	8/28/2017	ATAC-seq	ATAC-seq for tissue	nb1_p92	Yes	Yes	JYH_107	Tn5 1.0 ul	EXP-81
SAMP-67	R234	JYH	8/23/2017	8/28/2017	ATAC-seq	ATAC-seq for tissue	nb1_p92	Yes	Yes	JYH_108	Tn5 1.5 ul	EXP-82
SAMP-67	R234	JYH	8/23/2017	8/28/2017	ATAC-seq	ATAC-seq for tissue	nb1_p92	Yes	Yes	JYH_109	Tn5 10 ul	EXP-83
SAMP-120	SS_AT1_S2-1-B-Cells	JYH	8/28/2017	8/29/2107	ATAC-seq	ATAC-seq for cells	nb1_p98	Yes	Yes	JYH_110	SS_AT1_S2-1-B-Cells using 50,000cells with 1 ul Tn5	EXP-84
SAMP-121	SS_AT1_S2-2-IgA-Cells	JYH	8/28/2017	8/29/2107	ATAC-seq	ATAC-seq for cells	nb1_p98	Yes	Yes	JYH_111	3k + 0.5 ul Tn5	EXP-85
SAMP-122	SS_AT1_S2-3-CD138-Cells	JYH	8/28/2017	8/29/2107	ATAC-seq	ATAC-seq for cells	nb1_p98	Yes	Yes	JYH_112	21k + 0.5 ul Tn5	EXP-86
SAMP-123	SS_AT1_L2-B-Cells	JYH	8/28/2017	8/29/2107	ATAC-seq	ATAC-seq for cells	nb1_p98	Yes	Yes	JYH_113	18k + 0.5 ul Tn5	EXP-87
SAMP-120	SS_AT1_S2-1-B-Cells	JYH	8/28/2017	8/29/2107	ATAC-seq	ATAC-seq for cells	nb1_p98	Yes	Yes	JYH_114	SS_AT1_S2-1-B-Cells using 20,000cells with 0.5 ul Tn5	EXP-88
SAMP-34	Pal14-072817	JYH	9/6/2017	9/6/2017	ATAC-seq	ATAC-seq for cells	nb1_p103	Yes	Yes	JYH_118	Tn5 0.5 ul	EXP-89
SAMP-35	5-8_072817	JYH	9/6/2017	9/6/2017	ATAC-seq	ATAC-seq for cells	nb1_p103	Yes	Yes	JYH_119	Tn5 1.0 ul	EXP-90
other	HG00514_2_TB_gly	JYH	9/6/2017	9/6/2017	ATAC-seq	ATAC-seq for cells	nb1_p103	Yes	No	JYH_115	50k, tn5 1 ul	EXP-91
other	HG00514_2_TB_gly	JYH	9/6/2017	9/6/2017	ATAC-seq	ATAC-seq for cells	nb1_p103	Yes	No	JYH_116	20k, tn5 0.5 ul	EXP-92
SAMP-124	R235	JYH	9/10/2017	9/10/2017	scATAC-seq	scATAC-seq for tissue	nb1_p105	Yes	Yes	XW2[2]	Flash Frozen nuclei, 3M	EXP-93
SAMP-17	2015-965A1	JYH	9/13/2017	9/13/2017	scRNA-seq	scRNA-seq for tissue	nb1_p108	Yes	Yes	JYH_172	Old califano	EXP-94
SAMP-18	2015-1103A1	JYH	9/13/2017	9/13/2017	scRNA-seq	scRNA-seq for tissue	nb1_p108	Yes	Yes	JYH_173	Old califano	EXP-95
SAMP-19	2016-1320A1	JYH	9/13/2017	9/13/2017	scRNA-seq	scRNA-seq for tissue	nb1_p108	Yes	Yes	JYH_174	Old califano	EXP-96
SAMP-20	2017-2216	JYH	9/13/2017	9/13/2017	scRNA-seq	scRNA-seq for tissue	nb1_p108	Yes	Yes	JYH_175	Old califano	EXP-97
SAMP-92	GBM10.4	JYH	10/4/2017	10/4/2017	scATAC-seq	scATAC-seq for tissue	nb1_p111	Yes	Yes	JYH_176	D1_W1	EXP-98
SAMP-104	GBM10.16	JYH	10/11/2017	10/11/2017	scATAC-seq	scATAC-seq for tissue	nb1_p114	Yes	Yes	JYH_177	S1_W1	EXP-99
SAMP-196	MCCT-051.3	JYH	10/09/2017	10/09/2017	ATAC-seq	ATAC-seq for tissue	nb1_p112	Yes	Yes	JYH_120	Cohen	EXP-100
SAMP-206	Hr heart	JYH	10/09/2017	10/09/2017	ATAC-seq	ATAC-seq for tissue	nb1_p112	Yes	Yes	JYH_159	Neil Chi	EXP-101
SAMP-207	WT heart	JYH	10/09/2017	10/09/2017	ATAC-seq	ATAC-seq for tissue	nb1_p112	Yes	Yes	JYH_160	Neil Chi	EXP-102
other	HG00514_2_TB_gly	JYH	10/09/2017	10/09/2017	ATAC-seq	ATAC-seq for tissue	nb1_p112	Yes	Yes	JYH_164[2]	NA	EXP-103
SAMP-200	H7-DMSO-1SNAP	JYH	10/13/2017	10/13/2017	ATAC-seq	ATAC-seq for cells	nb1_p115	Yes	Yes	JYH_121	Huh7 parental	EXP-104
SAMP-201	H7-DMSO-2SNAP	JYH	10/13/2017	10/13/2017	ATAC-seq	ATAC-seq for cells	nb1_p115	Yes	Yes	JYH_122	Huh7 parental	EXP-105
SAMP-202	H7-2523R-1SNAP	JYH	10/13/2017	10/13/2017	ATAC-seq	ATAC-seq for cells	nb1_p115	Yes	Yes	JYH_123	Huh7 2523R	EXP-106
SAMP-203	H7-2523R-2SNAP	JYH	10/13/2017	10/13/2017	ATAC-seq	ATAC-seq for cells	nb1_p115	Yes	Yes	JYH_124	Huh7 2523R	EXP-107
SAMP-211	HCT-1299	JYH	10/13/2017	10/13/2017	ATAC-seq	ATAC-seq for cells	nb1_p115	Yes	Yes	JYH_125	Pfizer 1st	EXP-108
other	D0_rep2_CVDC2	JYH	10/13/2017	10/13/2017	ATAC-seq	ATAC-seq for cells	nb1_p115	Yes	No	NA	test	EXP-109
other	D15_rep1_CVDC2	JYH	10/13/2017	10/13/2017	ATAC-seq	ATAC-seq for cells	nb1_p115	Yes	No	NA	test	EXP-110
other	HG00514_2_TB_gly	JYH	10/13/2017	10/13/2017	ATAC-seq	ATAC-seq for cells	nb1_p115	Yes	Yes	JYH_126	NA	EXP-111
SAMP-226	D00_Rep1	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_127	Neil Chi Rep1	EXP-118
SAMP-228	D03_Rep1	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_128	Neil Chi Rep1	EXP-119
SAMP-230	D05_Rep1_VE	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_129	Neil Chi Rep1	EXP-120
SAMP-232	D07_Rep1_VE	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_130	Neil Chi Rep1	EXP-121
SAMP-234	D09_Rep1_VE	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_131	Neil Chi Rep1	EXP-122
SAMP-236	D15_Rep1_VE	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_132	Neil Chi Rep1	EXP-123
SAMP-238	D05_Rep1_CM	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_133	Neil Chi Rep1	EXP-124
SAMP-240	D07_Rep1_CM	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_134	Neil Chi Rep1	EXP-125
SAMP-242	D09_Rep1_CM	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_135	Neil Chi Rep1	EXP-126
SAMP-244	D15_Rep1_CM	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_136	Neil Chi Rep1	EXP-127
SAMP-246	D05_Rep1_Epi	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_137	Neil Chi Rep1	EXP-128
SAMP-248	D07_Rep1_Epi	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_138	Neil Chi Rep1	EXP-129
SAMP-250	D09_Rep1_Epi	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_139	Neil Chi Rep1	EXP-130
SAMP-252	D15_Rep1_Epi	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_140	Neil Chi Rep1	EXP-131
SAMP-254	D20_Rep1_Epi	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_141	Neil Chi Rep1	EXP-132
SAMP-159	GM19240	JYH	10/19/2017	10/19/2017	ATAC-seq	ATAC-seq for cells	nb1_p119	Yes	Yes	JYH_142	NA	EXP-133
SAMP-227	D00_Rep2	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_143	Neil Chi Rep2	EXP-134
SAMP-229	D03_Rep2	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_144	Neil Chi Rep2	EXP-135
SAMP-231	D05_Rep2_VE	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_145	Neil Chi Rep2	EXP-136
SAMP-233	D07_Rep2_VE	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_146	Neil Chi Rep2	EXP-137
SAMP-235	D09_Rep2_VE	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_147	Neil Chi Rep2	EXP-138
SAMP-237	D15_Rep2_VE	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_148	Neil Chi Rep2	EXP-139
SAMP-239	D05_Rep2_CM	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_149	Neil Chi Rep2	EXP-140
SAMP-241	D07_Rep2_CM	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_150	Neil Chi Rep2	EXP-141
SAMP-243	D09_Rep2_CM	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_151	Neil Chi Rep2	EXP-142
SAMP-245	D15_Rep2_CM	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_152	Neil Chi Rep2	EXP-143
SAMP-247	D05_Rep2_Epi	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_153	Neil Chi Rep2	EXP-144
SAMP-249	D07_Rep2_Epi	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_154	Neil Chi Rep2	EXP-145
SAMP-251	D09_Rep2_Epi	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_155	Neil Chi Rep2	EXP-146
SAMP-253	D15_Rep2_Epi	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_156	Neil Chi Rep2	EXP-147
SAMP-255	D20_Rep2_Epi	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_157	Neil Chi Rep2	EXP-148
SAMP-159	GM19240	JYH	10/20/2017	10/20/2017	ATAC-seq	ATAC-seq for cells	nb1_p122	Yes	Yes	JYH_158	NA	EXP-149
SAMP-126	GM19240_Slow5%DMSO	AVD	9/14/2017	9/14/2017	ATAC-seq	ATAC-seq_cells	nb1_p28-31	Yes	Yes	AVD_14	LCL freezing conditions test	EXP-150
