IMPORTANT NOTE: SHEET IS PROTOCTED AND WILL GIVE A WARNING BEFORE EDITS CAN BE MADE. PLEASE TAKE CARE NOT TO MAKE UNINTENDED CHANGES.																													
To be completed by wet lab team member																		Sequncing file index (DO NOT CHANGE)	To be completed by bioinformatics team member										
Sample Index (from MSTS)	sample ID (from MSTS)	Label (for QC report)	species 	Experiment Index (from METS)	Team member intials	Date submitted for sequencing	Library ID	Sequencing ID	Experiment type	Sequening core	Machine	Sequening length	Read type	Portion of lane	i5 Index (or single index)	i7 index (if applicable)	Notes		Date sequencing completed	Team member intitials	Genome	Total_reads	Final_reads	Final_yield	Mito_frac	TSS_enrichment	FRoP	Link for sharing files	Notes
SAMP-30	2703 3-4 No KCl	2703 3-4 No KCl	human	EXP-25	JYH	08/15/2017	JYH_67	JYH_67	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S510	N712	affected 2 neurons -no tx	SEQ-25		ZC	hg38	77,983,034	40,621,154	0.521	0.171	31.09	0.253		
SAMP-31	2703 3-4 1 hr	2703 3-4 1 hr	human	EXP-26	JYH	08/15/2017	JYH_68	JYH_68	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S502	N701	affected 2 neurons- 1 hr tx	SEQ-26		ZC	hg38	35,239,852	20,572,962	0.584	0.149	29.87	0.244		
SAMP-32	2703 3-4 6 hr	2703 3-4 6 hr	human	EXP-27	JYH	08/15/2017	JYH_69	JYH_69	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S502	N702	affected 2 neurons -6hr tx	SEQ-27		ZC	hg38	25,234,920	14,763,306	0.585	0.154	27.09	0.221		
other	HG00514_2_TB_gly	ATAC control	human	EXP-28	JYH	08/15/2017	JYH_70	JYH_70	ATAC-seq	LICR	HiSeq4000	50	PE	0.08	S502	N703	Flash freeze nuclei of control cell line with TB and 25%glycerol	SEQ-28		ZC	hg38	39,079,360	14,407,368	0.369	0.408	37.57	0.293		
other	HG00514_1_noDMF_gly	ATAC control	human	EXP-29	JYH	08/15/2017	JYH_48	JYH_48	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N701	Flash freeze nuclei of control cell line with no DMF and 25%glycerol	SEQ-29		ZC	hg38	50,675,930	25,554,100	0.504	0.283	38.66	0.319		
other	HG00514_2_TB_gly	ATAC control	human	EXP-30	JYH	08/15/2017	JYH_49	JYH_49	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N702	Flash freeze nuclei of control cell line with TB and 25%glycerol	SEQ-30		ZC	hg38	28,805,436	14,335,374	0.498	0.306	39.9	0.321		
SAMP-10	H7-SNAP-1	H7-SNAP-1	human	EXP-31	JYH	08/15/2017	JYH_50	JYH_50	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N703	FlashFrozen nuclei	SEQ-31		ZC	hg38	28,738,414	14,371,742	0.5	0.256	2.352	0.0237		
SAMP-11	H7-SNAP-2	H7-SNAP-2	human	EXP-32	JYH	08/15/2017	JYH_51	JYH_51	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N704	FlashFrozen nuclei	SEQ-32		ZC	hg38	24,599,390	12,032,668	0.489	0.248	2.296	0.0235		
SAMP-12	H7-SNAPDMSO-1	H7-SNAPDMSO-1	human	EXP-33	JYH	08/15/2017	JYH_52	JYH_52	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N705	FlashFrozen nuclei	SEQ-33		ZC	hg38	29,977,634	9,387,618	0.313	0.47	25.37	0.339		
SAMP-13	H7-SNAPDMSO-2	H7-SNAPDMSO-2	human	EXP-34	JYH	08/15/2017	JYH_53	JYH_53	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N706	FlashFrozen nuclei	SEQ-34		ZC	hg38	31,430,682	9,019,266	0.287	0.477	25.77	0.337		
SAMP-14	H7-SLOWDMSO-1	H7-SLOWDMSO-1	human	EXP-35	JYH	08/15/2017	JYH_54	JYH_54	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N707	FlashFrozen nuclei	SEQ-35		ZC	hg38	30,055,586	5,284,278	0.176	0.544	27.79	0.355		
SAMP-15	H7-SLOWDMSO-2	H7-SLOWDMSO-2	human	EXP-34	JYH	08/15/2017	JYH_55	JYH_55	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N710	FlashFrozen nuclei	SEQ-36		ZC	hg38	30,286,678	5,081,412	0.168	0.535	27.4	0.357		
SAMP-15	H7-SLOWDMSO-2	H7-SLOWDMSO-1	human	EXP-35	JYH	08/15/2017	JYH_56	JYH_56	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N712	FlashFrozen nuclei with DMF	SEQ-37		ZC	hg38	32,189,326	5,622,464	0.175	0.458	30.5	0.347		
SAMP-15	H7-SLOWDMSO-2	H7-SLOWDMSO-2	human	EXP-38	JYH	08/15/2017	JYH_57	JYH_57	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N711	FlashFrozen nuclei without glycerol	SEQ-38		ZC	hg38	31,526,400	5,493,156	0.174	0.454	29.85	0.369		
other	FB e13.5	FB e13.5	Mouse	EXP-39	JYH	05/25/2017	JYH_1	JYH_1	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N701	ENCODE	SEQ-39		ZC	mm10	80,388,900	61,090,774	0.76	0.0292	18.61	0.148		
other	LIMB e15.5 r1	LIMB e15.5 r1	Mouse	EXP-40	JYH	05/25/2017	JYH_2	JYH_2	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N702	ENCODE	SEQ-40		ZC	mm10	78,117,304	55,836,444	0.715	0.0306	7.847	0.0546		
other	LIMB e15.5 r2	LIMB e15.5 r2	Mouse	EXP-41	JYH	05/25/2017	JYH_3	JYH_3	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N703	ENCODE	SEQ-41		ZC	NA	NA	NA	NA	NA	NA	NA		
other	FB e16.5 r2	FB e16.5 r2	Mouse	EXP-42	JYH	05/25/2017	JYH_4	JYH_4	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N704	ENCODE	SEQ-42		ZC	NA	NA	NA	NA	NA	NA	NA		
other	MB e14.5 r1	MB e14.5 r1	Mouse	EXP-43	JYH	05/25/2017	JYH_5	JYH_5	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N705	ENCODE	SEQ-43		ZC	NA	NA	NA	NA	NA	NA	NA		
other	MB e14.5 r2	MB e14.5 r2	Mouse	EXP-44	JYH	05/25/2017	JYH_6	JYH_6	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N706	ENCODE	SEQ-44		ZC	NA	NA	NA	NA	NA	NA	NA		
other	Lung e15.5 r1	Lung e15.5 r1	Mouse	EXP-45	JYH	05/25/2017	JYH_7	JYH_7	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N707	ENCODE	SEQ-45		ZC	NA	NA	NA	NA	NA	NA	NA		
other	LIMB e11.5 r1	LIMB e11.5 r1	Mouse	EXP-46	JYH	05/25/2017	JYH_8	JYH_8	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N710	ENCODE	SEQ-46		ZC	NA	NA	NA	NA	NA	NA	NA		
other	LIMB e11.5 r2	LIMB e11.5 r2	Mouse	EXP-47	JYH	05/25/2017	JYH_9	JYH_9	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N711	ENCODE	SEQ-47		ZC	mm10	87,244,082	63,741,874	0.731	0.0248	8.398	0.0617		
other	LIMB e12.5 r1	LIMB e12.5 r1	Mouse	EXP-48	JYH	05/25/2017	JYH_10	JYH_10	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N712	ENCODE	SEQ-48		ZC	mm10	75,148,680	54,987,326	0.732	0.0316	10.29	0.0787		
other	LIMB e13.5 r2	LIMB e13.5 r2	Mouse	EXP-49	JYH	05/25/2017	JYH_11	JYH_11	ATAC-seq	LICR	HiSeq4000	50	PE	0.09	S505	N714	ENCODE	SEQ-49		ZC	mm10	74,944,578	55,570,584	0.741	0.0388	12.33	0.0879		
other	Human_eye_24weeks_Twin_A_1	Human_eye_24weeks_Twin_A_1	human	EXP-50	JYH	05/31/2017	JYH_12	JYH_12	ATAC-seq	LICR	HiSeq4000	50	PE	0.25	S506	N701	Twin A	SEQ-50		ZC	hg38	32,097,012	23,525,458	0.733	0.0636	13.33	0.105		
other	Human_eye_24weeks_Twin_A_2	Human_eye_24weeks_Twin_A_2	human	EXP-51	JYH	05/31/2017	JYH_13	JYH_13	ATAC-seq	LICR	HiSeq4000	50	PE	0.25	S506	N702	Twin A	SEQ-51		ZC	hg38	31,221,662	22,442,894	0.719	0.071	10.63	0.0759		
other	Heart_e16.5_r2	Heart_e16.5_r2	Mouse	EXP-52	JYH	05/31/2017	JYH_14	JYH_14	ATAC-seq	LICR	HiSeq4000	50	PE	0.25	S506	N703	ENCODE	SEQ-52		ZC	mm10	38,535,622	27,852,458	0.723	0.0861	23.62	0.167		
other	Liver_e15.5_r2	Liver_e15.5_r2	Mouse	EXP-53	JYH	05/31/2017	JYH_15	JYH_15	ATAC-seq	LICR	HiSeq4000	50	PE	0.25	S506	N704	ENCODE	SEQ-53		ZC	mm10	48,890,418	33,445,216	0.684	0.102	41.05	0.293		
SAMP-40	KG-A005	Islet_Fresh	human	EXP-54	JYH	07/06/2017	JYH_16	JYH_16	ATAC-seq	LICR	HiSeq4000	50	PE	0.20	S505	N701	Fresh islet	SEQ-54		ZC	hg38	160,027,378	69,735,794	0.436	0.308	39.52	0.479		
SAMP-40	KG-A005	Islet_FlashFrozen_nuclei	human	EXP-55	JYH	07/06/2017	JYH_17	JYH_17	ATAC-seq	LICR	HiSeq4000	50	PE	0.20	S505	N702	Flash freeze nuclei	SEQ-55		ZC	hg38	155,896,704	53,461,746	0.343	0.347	20.31	0.188		
SAMP-40	KG-A005	Islet_FlashFrozen_nuclei	human	EXP-56	JYH	07/06/2017	JYH_18	JYH_18	ATAC-seq	LICR	HiSeq4000	50	PE	0.20	S505	N703	Flash freeze whole islet	SEQ-56		ZC	hg38	152,985,286	67,347,914	0.44	0.349	24.67	0.334		
SAMP-41	KG-A006	Islet_whole	human	EXP-57	JYH	07/06/2017	JYH_19	JYH_19	ATAC-seq	LICR	HiSeq4000	50	PE	0.20	S506	N701	Flash freeze whole islet	SEQ-57		ZC	hg38	158,629,690	71,266,250	0.449	0.335	13.98	0.236		
SAMP-41	KG-A006	Islet_homogenized	human	EXP-58	JYH	07/06/2017	JYH_20	JYH_20	ATAC-seq	LICR	HiSeq4000	50	PE	0.20	S506	N702	Flash freeze whole islet and homogenized	SEQ-58		ZC	hg38	101,573,710	42,616,344	0.42	0.348	11.78	0.194		
other	adult mouse FB with normal ATAC-seq	adult mouse FB with normal ATAC-seq	Mouse	EXP-59	JYH	07/06/2017	JYH_30	JYH_30	ATAC-seq	LICR	HiSeq4000	50	PE	0.13	S503	N704	Single Tube test	SEQ-59		ZC	mm10	68,994,162	45,564,198	0.66	0.152	20.52	0.184		
other	adult mouse FB with 2%SDS_ 37℃_ 30min	adult mouse FB with 2%SDS_ 37℃_ 30min	Mouse	EXP-60	JYH	07/06/2017	JYH_31	JYH_31	ATAC-seq	LICR	HiSeq4000	50	PE	0.13	S503	N705	Single Tube test	SEQ-60		ZC	mm10	69,606,478	46,211,584	0.664	0.149	19.56	0.179		
other	adult mouse FB with 2%SDS_ 55℃_ 7min	adult mouse FB with 2%SDS_ 55℃_ 7min	Mouse	EXP-61	JYH	07/06/2017	JYH_32	JYH_32	ATAC-seq	LICR	HiSeq4000	50	PE	0.13	S503	N706	Single Tube test	SEQ-61		ZC	mm10	66,547,422	44,135,630	0.663	0.157	19.64	0.177		
other	adult mouse FB with 2%SDS_ 65℃_ 7min	adult mouse FB with 2%SDS_ 65℃_ 7min	Mouse	EXP-62	JYH	07/06/2017	JYH_33	JYH_33	ATAC-seq	LICR	HiSeq4000	50	PE	0.13	S503	N707	Single Tube test	SEQ-62		ZC	mm10	68,667,942	45,929,018	0.669	0.153	20.99	0.188		
other	adult mouse FB with 2%SDS_ 72℃_ 5min	adult mouse FB with 2%SDS_ 72℃_ 5min	Mouse	EXP-63	JYH	07/06/2017	JYH_34	JYH_34	ATAC-seq	LICR	HiSeq4000	50	PE	0.13	S503	N710	Single Tube test	SEQ-63		ZC	mm10	68,202,642	46,157,498	0.677	0.151	21.52	0.197		
other	adult mouse FB with normal ATAC-seq	adult mouse FB with normal ATAC-seq	Mouse	EXP-64	JYH	07/06/2017	JYH_35	JYH_35	ATAC-seq	LICR	HiSeq4000	50	PE	0.13	S506	N701	Storage buffer test	SEQ-64		ZC	mm10	83,086,380	60,491,476	0.728	0.0881	22.73	0.211		
other	adult mouse FB with pro-seq storage buffer_ FF	adult mouse FB with pro-seq storage buffer_ FF	Mouse	EXP-65	JYH	07/06/2017	JYH_36	JYH_36	ATAC-seq	LICR	HiSeq4000	50	PE	0.13	S506	N704	Storage buffer test	SEQ-65		ZC	mm10	73,801,300	47,172,394	0.639	0.122	15.25	0.1		
other	adult mouse FB with tagmentation storage buffer_ FF	adult mouse FB with tagmentation storage buffer_ FF	Mouse	EXP-66	JYH	07/06/2017	JYH_37	JYH_37	ATAC-seq	LICR	HiSeq4000	50	PE	0.13	S506	N706	Storage buffer test	SEQ-66		ZC	mm10	115,455,448	72,127,534	0.625	0.126	15.27	0.111		
SAMP-10	H7-SNAP-1	H7-SNAP-1	human	EXP-10	JYH	08/17/2017	JYH_42	JYH_42_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S503	N701	Huh7 parental	SEQ-67		ZC	hg38	46,676,066	19,764,406	0.423	0.307	2.758	0.0235		
SAMP-11	H7-SNAP-2	H7-SNAP-2	human	EXP-11	JYH	08/17/2017	JYH_43	JYH_43_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S503	N702	Huh7 parental	SEQ-68		ZC	hg38	37,481,792	16,098,932	0.43	0.292	2.688	0.0243		
SAMP-12	H7-SNAPDMSO-1	H7-SNAPDMSO-1	human	EXP-12	JYH	08/17/2017	JYH_44	JYH_44_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S503	N703	Huh7 parental	SEQ-69		ZC	hg38	23,124,752	6,419,722	0.278	0.474	29.38	0.352		
SAMP-13	H7-SNAPDMSO-2	H7-SNAPDMSO-2	human	EXP-13	JYH	08/17/2017	JYH_45	JYH_45_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S503	N704	Huh7 parental	SEQ-70		ZC	hg38	42,967,262	10,130,782	0.236	0.512	31.29	0.374		
SAMP-14	H7-SLOWDMSO-2	H7-SLOWDMSO-2	human	EXP-14	JYH	08/17/2017	JYH_46	JYH_46_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S503	N705	Huh7 parental	SEQ-71		ZC	hg38	42,636,708	7,138,428	0.167	0.528	33.66	0.385		
SAMP-15	H7-SLOWDMSO-2	H7-SLOWDMSO-2	human	EXP-15	JYH	08/17/2017	JYH_47	JYH_47_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S503	N706	Huh7 parental	SEQ-72		ZC	hg38	40,113,874	5,056,618	0.126	0.554	35.46	0.404		
other	HG00514_1_noDMF_gly	ATAC control	human	EXP-29	JYH	08/17/2017	JYH_48	JYH_48_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S507	N701	NA	SEQ-73		ZC	hg38	71,390,076	36,640,340	0.513	0.269	39.08	0.317		
other	HG00514_2_TB_gly	ATAC control	human	EXP-30	JYH	08/17/2017	JYH_49	JYH_49_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S507	N702	NA	SEQ-74		ZC	hg38	39,228,400	20,199,746	0.515	0.294	40.7	0.318		
SAMP-10	H7-SNAP-1	H7-SNAP-1	human	EXP-31	JYH	08/17/2017	JYH_50	JYH_50_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S507	N703	FlashFrozen nuclei	SEQ-75		ZC	hg38	41,719,964	21,064,706	0.505	0.253	2.85	0.025		
SAMP-11	H7-SNAP-2	H7-SNAP-2	human	EXP-32	JYH	08/17/2017	JYH_51	JYH_51_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S507	N704	FlashFrozen nuclei	SEQ-76		ZC	hg38	36,614,326	18,167,710	0.496	0.243	2.757	0.0248		
SAMP-12	H7-SNAPDMSO-1	H7-SNAPDMSO-1	human	EXP-33	JYH	08/17/2017	JYH_52	JYH_52_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S507	N705	FlashFrozen nuclei	SEQ-77		ZC	hg38	42,171,778	13,573,042	0.322	0.473	27.51	0.345		
SAMP-13	H7-SNAPDMSO-2	H7-SNAPDMSO-2	human	EXP-34	JYH	08/17/2017	JYH_53	JYH_53_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S507	N706	FlashFrozen nuclei	SEQ-78		ZC	hg38	43,400,638	13,073,932	0.301	0.474	28.1	0.342		
SAMP-14	H7-SLOWDMSO-1	H7-SLOWDMSO-1	human	EXP-35	JYH	08/17/2017	JYH_54	JYH_54_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S507	N707	FlashFrozen nuclei	SEQ-79		ZC	hg38	40,616,784	7,555,552	0.186	0.557	29.59	0.359		
SAMP-15	H7-SLOWDMSO-2	H7-SLOWDMSO-2	human	EXP-34	JYH	08/17/2017	JYH_55	JYH_55_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S507	N710	FlashFrozen nuclei	SEQ-80		ZC	hg38	40,032,216	6,931,862	0.173	0.552	30.65	0.361		
SAMP-14	H7-SLOWDMSO-2	H7-SLOWDMSO-2	human	EXP-35	JYH	08/17/2017	JYH_56	JYH_56_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S507	N712	FlashFrozen nuclei with DMF	SEQ-81		ZC	hg38	44,168,344	8,248,628	0.187	0.471	32.33	0.35		
SAMP-15	H7-SLOWDMSO-2	H7-SLOWDMSO-2	human	EXP-38	JYH	08/17/2017	JYH_57	JYH_57_2	ATAC-seq	IGM	HiSeq4000	100	PE	0.06	S507	N711	FlashFrozen nuclei without glycerol	SEQ-82		ZC	hg38	43,994,892	8,063,512	0.183	0.471	30.86	0.37		
SAMP-36	CZ01	CZ01	human	EXP-67	JYH	08/18/2017	JYH_71	JYH_71	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S502	N701	Zhang's buffer	SEQ-83		ZC	hg38	36,118,826	15,678,080	0.434	0.423	12.56	0.152		
SAMP-36	CZ01	CZ01	human	EXP-68	JYH	08/18/2017	JYH_72	JYH_72	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S503	N702	Our NPB	SEQ-84		ZC	hg38	28,540,050	16,919,368	0.593	0.26	13.58	0.183		
SAMP-37	CZ02	CZ02	human	EXP-69	JYH	08/18/2017	JYH_73	JYH_73	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S505	N703	Zhang's buffer	SEQ-85		ZC	hg38	33,443,906	14,313,150	0.428	0.433	34.77	0.379		
SAMP-37	CZ02	CZ02	human	EXP-70	JYH	08/18/2017	JYH_74	JYH_74	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S506	N704	Our NPB	SEQ-86		ZC	hg38	33,402,768	18,433,590	0.552	0.292	39.81	0.451		
SAMP-38	CZ03	CZ03	human	EXP-71	JYH	08/18/2017	JYH_75	JYH_75	ATAC-seq	LICR	HiSeq4000	50	PE	0.10	S507	N705	Zhang's buffer	SEQ-87		ZC	hg38	39,465,396	14,698,652	0.372	0.466	10.91	0.117		
